ID,Ploidy,Height,n.flowers,n.fruits,Fitness,Init.Day,Peak.Day,End.Day,Tot.Days,Max.n.open.flowers,X_Sp_Ap,X_Sp_Met,X_Sp_Fauc,Y_Sp,X_Lab_Max,X_LobLat,Y_Lab,X_LobMed,Y_LobMed,X_SepSx,Y_SepSx,X_SepDx,Y_SepDx,X_SepCen,Y_SepCen,X_PetSx,Y_PetSx,X_PetDx,Y_PetDx
1,4n,17,36,5,0.139,132,135,156,24,22,0.09,0.09,0.23,1.5,0.89,0.65,0.7,0.21,0.27,0.19,0.52,0.21,0.52,0.2,0.52,0.1,0.52,0.18,0.58
2,4n,22,42,3,0.071,132,144,150,18,21,0.06,0.1,0.11,1.44,0.75,0.66,0.67,0.21,0.3,0.28,0.48,0.26,0.59,0.2,0.46,0.25,0.61,0.26,0.58
3,4n,19,33,2,0.061,132,144,154,22,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4n,18,31,16,0.516,132,135,154,22,31,0.05,0.09,0.19,1.5,0.83,0.59,0.72,0.21,0.28,0.25,0.59,0.25,0.5,0.21,0.51,0.27,0.63,0.24,0.63
5,4n,33,38,24,0.632,132,138,156,24,35,0.07,0.09,0.16,1.6,0.91,0.7,0.79,0.19,0.35,0.26,0.66,0.26,0.53,0.18,0.59,0.25,0.68,0.21,0.61
6,4n,23,30,12,0.4,132,138,156,24,22,0.06,0.09,0.19,1.35,0.83,0.61,0.64,0.21,0.27,0.3,0.41,0.26,0.53,0.25,0.5,0.24,0.68,0.25,0.65
7,4n,24,27,8,0.296,132,144,156,24,21,0.09,0.11,0.18,1.54,0.9,0.76,0.64,0.23,0.45,0.27,0.47,0.27,0.49,0.18,0.5,0.15,0.55,0.24,0.58
8,4n,18,25,5,0.2,132,150,154,22,22,0.1,0.12,0.15,1.45,0.85,0.74,0.62,0.19,0.35,0.13,0.36,0.16,0.41,0.2,0.46,0.18,0.55,0.22,0.58
9,4n,13,24,2,0.083,132,150,156,24,16,0.07,0.01,0.14,1.7,0.87,0.7,0.58,0.18,0.41,0.28,0.45,0.26,0.48,0.23,0.51,0.26,0.63,0.25,0.6
10,4n,12,19,4,0.211,132,141,156,24,18,0.07,0.1,0.12,1.53,0.82,0.66,0.51,0.19,0.31,0.23,0.42,0.25,0.47,0.18,0.41,0.15,0.47,0.21,0.48
